2026-04-10 09:40:44,704 | INFO | ENV cargado desde: Q:\Python\Python\APIS\ContVSFact\conexion\.env
2026-04-10 09:40:44,704 | INFO | Conectando a SQL Server...
2026-04-10 09:40:44,780 | INFO | Conectando a MySQL...
2026-04-10 09:40:44,786 | INFO | Leyendo archivo SQL: Q:\Python\Python\APIS\ContVSFact\Querys\FacturacionElectronica.sql
2026-04-10 09:40:44,786 | INFO | Ejecutando consulta en SQL Server...
2026-04-10 09:40:47,383 | INFO | Columnas devueltas: ['Referencia', 'tipo_operacion', 'fecha_ingreso', 'Total_Correcto', 'status_factura']
2026-04-10 09:40:47,383 | INFO | Registros obtenidos de SQL Server: 13927
2026-04-10 09:40:47,384 | INFO | Creando/verificando tabla MySQL dinámica: dm_factura_electronica_totales
2026-04-10 09:40:47,384 | INFO | Tabla lista con UNIQUE (UPSERT): Referencia, fecha_ingreso
2026-04-10 09:40:47,885 | INFO | Insertados/actualizados: 2000
2026-04-10 09:40:48,340 | INFO | Insertados/actualizados: 4000
2026-04-10 09:40:49,417 | INFO | Insertados/actualizados: 6000
2026-04-10 09:40:49,841 | INFO | Insertados/actualizados: 8000
2026-04-10 09:40:50,113 | INFO | Insertados/actualizados: 10000
2026-04-10 09:40:50,384 | INFO | Insertados/actualizados: 12000
2026-04-10 09:40:51,240 | INFO | Insertados/actualizados: 13927
2026-04-10 09:40:51,241 | INFO | Carga finalizada correctamente.
2026-04-10 09:40:51,241 | INFO | Tiempo total: 0:00:06.536706
